#separator:tab
#html:false
#columns:Front	Back
#tags:squirrelops-enablement
What is SquirrelOps in one sentence?	A deception security platform for AI. It sits in front of your customer-facing LLM, routes attackers into a decoy, and sends labeled threat intel to your SIEM.
What does SquirrelOps do that guardrails don't?	Guardrails block prompts at the door. SquirrelOps catches the attacker who gets through, routes them to a decoy, and tells you how they got in.
What is the core value proposition?	Most LLM security keeps attackers out. SquirrelOps makes them reveal themselves. Detection and attribution for the LLM attack surface.
What is the 30-second pitch?	Most LLM security tries to keep attackers out. We make them reveal themselves. We sit in front of your LLM, route attackers to a decoy, capture what they tried, and send labeled intel to your SIEM. Real model stays clean.
What category is SquirrelOps?	Deception for the LLM attack surface. The intersection of network deception and AI security. A new category, effectively uncontested commercially.
What is the threat capture rate and what does it mean?	98.5%, meaning 66 of 67 attack turns captured in the v1.0.4 internal adversarial campaign.
Why must you say "of attack turns" with the 98.5%?	The campaign is 87 total turns; 67 are attacks, 20 benign. 98.5% is 66 of 67 attacks. The raw canary rate across all 87 is 75.86%. Pairing 98.5% with 87 is the trap.
What do you do when asked "98.5% of what?"	Say 66 of 67 attack turns, then volunteer that the raw rate across all 87 turns is ~76%, and explain the attack-turn number is the meaningful one.
What is the false positive rate?	Zero on the benign traffic test set. No production numbers yet (pre-customer). Never claim "zero in production."
What is the detection time?	Under 2 minutes from the first malicious request to alert.
How much latency does SquirrelOps add?	About 30ms on benign (clean) traffic, below the noise floor of LLM response times.
How many tests does SquirrelOps have?	815 on the v1.0.5 release branch; over 1,000 across the whole suite.
How many attack techniques does the campaign cover?	6 technique families across 7 attacker profiles, roughly 120 prompts. Never say "80+ techniques."
What are the 6 attack technique families?	DAN-style jailbreaks, role-play injection, system-prompt extraction, encoding evasion, tool-call exploitation, and multi-step chains.
What ML model does Layer 2 use?	A 700MB DeBERTa-v3 model exported to ONNX, shipped inside the profile bundle.
What is the two-layer detection pipeline?	Layer 1 deterministic regex rules (sub-ms), then Layer 2 ML classifier (DeBERTa-v3 ONNX, 10-30ms). Scores combine via max.
What happens to adversarial traffic?	It gets routed to a decoy persona model. The real model never sees the attacker.
What happens to benign traffic?	It passes through to the real model untouched, adding ~30ms.
What is the decoy persona model?	A LoRA-adapted small open-weight model trained to engage attackers convincingly without leaking real secrets.
What is a profile bundle?	The signed, reproducible artifact shipping a tenant's rules, ML model, and decoy persona. Customers can rebuild it from source and verify bit-identical.
What does "bit-identical reproducible build" mean and what is its scope?	Customers rebuild a profile bundle from source and verify it byte-for-byte matches the deployed one. Scope is the bundle pipeline (HueyDeweyLouie), not the control-plane core.
How is intel emitted?	STIX 2.1 over TAXII2. Standard format, polled by the customer's SIEM or threat-intel platform.
What are the TAXII2 endpoints?	/taxii2/ discovery, /taxii2/api/ root, /taxii2/api/collections, and /taxii2/api/collections/{id}/objects.
What STIX object types are emitted?	Indicators (IP, UA, session token), attack-patterns (techniques), and relationships, enriched with ATT&CK and ATLAS.
What are the three deployment topologies?	In-line gateway, sidecar, and VPC-peered / isolated. All produce identical intel output.
Which SIEM integration is documented?	OpenCTI, via its TAXII2 connector. Others (Splunk, Sentinel) are standard "point your TAXII2 collector at our feed."
What does the customer provide to deploy?	A place to run it, traffic routing, a TAXII2-capable SIEM or bridge target, the in-scope models/use cases, and a security contact.
What is the honest limit on SIEM connectors?	Standard TAXII2 plus a documented OpenCTI path. No universal one-click connector. Custom targets are scoped bridges.
What does CLOWNPEANUTS_REQUIRE_STAGE2 do?	Makes the runtime fail closed (raise) if a bundle is supposed to ship the ML model but it's missing, instead of silently running rules-only.
Name the seven modules.	HueyDeweyLouie (AI Deception), FunHouseForge, GhostCrew, WitchBait, ADLibs, PripyatSprings, DirtyLaundry.
